SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,2003-03-21,-25.00,158.27,5,0.0000,0.3,0.000 ,,,365.4030,0.0002,12.3494,0.02,,,0.3201,"Rhizosolenia,Hemiaulus",0.1821,0.01,,,,0.0018,,,,,,,,,,,25.81,35.39,2.279,93.399,0.02,,0.07,
,qPCR,2003-03-21,-25.00,158.27,15,1.4830,0.3,0.445 ,,,314.1150,0.0002,7.3077,0.02,,,0.2090,"Rhizosolenia,Hemiaulus",0.1864,0.01,,,,0.0019,,,,,,,,,,,25.80,35.39,3.061,69.980,0.04,,0.07,
,qPCR,2003-03-21,-25.00,158.27,30,2.0770,0.3,0.623 ,,,401.0990,0.0002,12.8943,0.02,,,0.3381,"Rhizosolenia,Hemiaulus",0.1488,0.01,,,,0.0015,,,,,,,,,,,25.81,35.39,3.821,83.191,0.05,,0.09,
,qPCR,2003-03-21,-25.00,158.27,50,0.0000,0.3,0.000 ,,,252.2010,0.0002,4.2913,0.02,,,0.1363,"Rhizosolenia,Hemiaulus",0.0266,0.01,,,,0.0003,,,,,,,,,,,25.80,35.39,2.581,93.999,0.03,,0.03,
,qPCR,2003-03-21,-25.00,158.27,70,0.0291,0.3,0.009 ,,,0.4260,0.0002,0.7900,0.02,,,0.0159,"Rhizosolenia,Hemiaulus",0.0328,0.01,,,,0.0003,,,,,,,,,,,24.72,35.46,2.732,108.110,0.03,,0.22,
,qPCR,2003-03-21,-25.00,158.27,96,0.0000,0.3,0.000 ,,,0.0140,0.0002,0.1100,0.02,,,0.0022,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,23.47,35.44,4.624,138.435,0.03,,0.14,
,qPCR,2003-03-21,-25.00,158.27,125,0.0000,0.3,0.000 ,,,0.0220,0.0002,0.0740,0.02,,,0.0015,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,22.33,35.58,3391.900,357.610,9.48,,0.19,
,qPCR,2003-03-21,-25.00,158.27,151,0.0000,0.3,0.000 ,,,0.0310,0.0002,0.3060,0.02,,,0.0061,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,21.46,35.66,4778.430,396.641,12.05,,0.08,
,qPCR,2003-03-22,-27.50,159.12,5,0.0000,0.3,0.000 ,,,495.4490,0.0002,7.8287,0.02,,,0.2557,"Rhizosolenia,Hemiaulus",0.1077,0.01,,,,0.0011,,,,,,,,,,,25.30,35.67,7.471,55.268,0.14,,0.10,
,qPCR,2003-03-22,-27.50,159.12,15,5.9686,0.3,1.791 ,,,473.2810,0.0002,12.1250,0.02,,,0.3372,"Rhizosolenia,Hemiaulus",0.1071,0.01,,,,0.0011,,,,,,,,,,,25.30,35.67,9.400,92.198,0.10,,0.10,
,qPCR,2003-03-22,-27.50,159.12,30,0.4918,0.3,0.148 ,,,557.8170,0.0002,9.5983,0.02,,,0.3035,"Rhizosolenia,Hemiaulus",0.0241,0.01,,,,0.0002,,,,,,,,,,,25.27,35.67,2.879,80.789,0.04,,0.10,
,qPCR,2003-03-22,-27.50,159.12,51,1.1400,0.3,0.342 ,,,293.0360,0.0002,8.4124,0.02,,,0.2269,"Rhizosolenia,Hemiaulus",0.3500,0.01,,,,0.0035,,,,,,,,,,,25.11,35.72,11.483,67.128,0.17,,0.10,
,qPCR,2003-03-22,-27.50,159.12,75,,,,,,367.8510,0.0002,0.2262,0.02,,,0.0781,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,22.56,35.73,2.455,53.167,0.05,,0.17,
,qPCR,2003-03-22,-27.50,159.12,110,0.0000,0.3,0.000 ,,,0.0920,0.0002,0.2817,0.02,,,0.0057,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,20.52,35.72,12.805,89.496,0.14,,0.04,
,qPCR,2003-03-22,-27.50,159.12,125,0.0000,0.3,0.000 ,,,0.1260,0.0002,0.1610,0.02,,,0.0032,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,19.97,35.69,2308.670,277.146,8.33,,0.05,
,qPCR,2003-03-22,-27.50,159.12,150,0.0100,0.3,0.003 ,,,0.0800,0.0002,0.1012,0.02,,,0.0020,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,19.61,35.72,3907.430,171.461,22.79,,0.12,
,qPCR,2003-03-22,-30.00,160.00,5,0.1235,0.3,0.037 ,,,878.5760,0.0002,1.5470,0.02,,,0.2067,"Rhizosolenia,Hemiaulus",0.1970,0.01,,,,0.0020,,,,,,,,,,,24.29,35.74,5.368,54.968,0.10,,0.08,
,qPCR,2003-03-22,-30.00,160.00,15,1.7050,0.3,0.512 ,,,1078.1650,0.0002,0.9040,0.02,,,0.2337,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,24.29,35.74,15.559,,,,0.11,
,qPCR,2003-03-22,-30.00,160.00,30,14.2405,0.3,4.272 ,,,1640.1405,0.0002,0.9370,0.02,,,0.3468,"Rhizosolenia,Hemiaulus",0.0710,0.01,,,,0.0007,,,,,,,,,,,24.13,35.89,5.075,42.958,0.12,,0.10,
,qPCR,2003-03-22,-30.00,160.00,49,1.5855,0.3,0.476 ,,,1852.3880,0.0002,1.3215,0.02,,,0.3969,"Rhizosolenia,Hemiaulus",0.2285,0.01,,,,0.0023,,,,,,,,,,,23.96,35.94,5.919,39.055,0.15,,0.10,
,qPCR,2003-03-22,-30.00,160.00,70,0.0000,0.3,0.000 ,,,0.7670,0.0002,0.1145,0.02,,,0.0024,"Rhizosolenia,Hemiaulus",0.0100,0.01,,,,0.0001,,,,,,,,,,,22.09,35.70,30.891,111.113,0.28,,0.26,
,qPCR,2003-03-22,-30.00,160.00,98,0.0000,0.3,0.000 ,,,0.0665,0.0002,0.1480,0.02,,,0.0030,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,20.82,35.79,,,,,,
,qPCR,2003-03-22,-30.00,160.00,125,0.0000,0.3,0.000 ,,,0.2505,0.0002,0.3790,0.02,,,0.0076,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,20.10,35.76,824.503,151.945,5.43,,0.29,
,qPCR,2003-03-22,-30.00,160.00,149,0.0000,0.3,0.000 ,,,0.1550,0.0002,0.0249,0.02,,,0.0005,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,19.54,35.74,2028.490,290.356,6.99,,0.12,
,qPCR,2003-03-24,-27.69,162.03,5,0.1346,0.3,0.040 ,,,909.5450,0.0002,33.2278,0.02,,,0.8465,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,24.27,35.90,,,,,0.09,
,qPCR,2003-03-24,-27.69,162.03,15,0.0000,0.3,0.000 ,,,593.1360,0.0002,29.6838,0.02,,,0.7123,"Rhizosolenia,Hemiaulus",0.7599,0.01,,,,0.0076,,,,,,,,,,,24.27,35.90,,,,,,
,qPCR,2003-03-24,-27.69,162.03,30,8.6183,0.3,2.585 ,,,2008.5007,0.0002,42.5454,0.02,,,1.2526,"Rhizosolenia,Hemiaulus",0.4011,0.01,,,,0.0040,,,,,,,,,,,24.27,35.90,,,,,0.05,
,qPCR,2003-03-24,-27.69,162.03,50,0.0000,0.3,0.000 ,,,651.8870,0.0002,11.4197,0.02,,,0.3588,,,,,,,,,,,,,,,,,,23.83,35.93,,,,,0.13,
,qPCR,2003-03-24,-27.69,162.03,75,0.0000,0.3,0.000 ,,,208.3900,0.0002,1.0962,0.02,,,0.0636,,,,,,,,,,,,,,,,,,22.04,35.81,,,,,0.18,
,qPCR,2003-03-24,-27.69,162.03,105,0.0000,0.3,0.000 ,,,0.2730,0.0002,0.5651,0.02,,,0.0114,,,,,,,,,,,,,,,,,,19.95,35.78,,,,,0.31,
,qPCR,2003-03-24,-27.69,162.03,150,0.1347,0.3,0.040 ,,,0.4030,0.0002,5.5627,0.02,,,0.1113,,,,,,,,,,,,,,,,,,18.67,35.71,,,,,,
,qPCR,2003-03-25,-25.38,164.01,5,0.0880,0.3,0.026 ,,,361.5540,0.0002,24.3169,0.02,,,0.5586,,,,,,,,,,,,,,,,,,25.16,35.65,20.000,65.000,0.31,,0.10,
,qPCR,2003-03-25,-25.38,164.01,15,29.2403,0.3,8.772 ,,,414.2560,0.0002,13.5154,0.02,,,0.3532,"Rhizosolenia,Hemiaulus",1.8655,0.01,,,,0.0187,,,,,,,,,,,25.16,35.65,28.000,71.000,0.39,,0.07,
,qPCR,2003-03-25,-25.38,164.01,30,12.3426,0.3,3.703 ,,,1019.1565,0.0002,25.8166,0.02,,,0.7202,"Rhizosolenia,Hemiaulus",0.7023,0.01,,,,0.0070,,,,,,,,,,,25.16,35.65,,,,,,
,qPCR,2003-03-25,-25.38,164.01,60,0.0200,0.3,0.006 ,,,40.5510,0.0002,3.3246,0.02,,,0.0746,,,,,,,,,,,,,,,,,,23.38,35.69,8.000,72.000,0.11,,0.10,
,qPCR,2003-03-25,-25.38,164.01,80,0.0414,0.3,0.012 ,,,0.0900,0.0002,0.8769,0.02,,,0.0176,,,,,,,,,,,,,,,,,,22.10,35.73,10.000,95.000,0.11,,0.15,
,qPCR,2003-03-25,-25.38,164.01,115,0.0000,0.3,0.000 ,,,0.0500,0.0002,0.2428,0.02,,,0.0049,,,,,,,,,,,,,,,,,,20.72,35.75,,,,,,
,qPCR,2003-03-25,-25.38,164.01,149,0.0100,0.3,0.003 ,,,0.0400,0.0002,0.1187,0.02,,,0.0024,,,,,,,,,,,,,,,,,,19.81,35.79,3.000,111.000,0.03,,0.20,
,qPCR,2003-03-28,-23.05,166.23,5,0.5157,0.3,0.155 ,,,111.6440,0.0002,3.6414,0.02,,,0.0952,,,,,,,,,,,,,,,,,,25.52,35.50,6.000,79.000,0.08,,0.13,
,qPCR,2003-03-28,-23.05,166.23,15,75.1250,0.3,22.537 ,,,204.1410,0.0002,2.2261,0.02,,,0.0854,"Rhizosolenia,Hemiaulus",1.0488,0.01,,,,0.0105,,,,,,,,,,,25.53,35.50,10.000,77.000,0.13,,0.13,
,qPCR,2003-03-28,-23.05,166.23,30,21.2858,0.3,6.386 ,,,363.3736,0.0002,2.0322,0.02,,,0.1133,"Rhizosolenia,Hemiaulus",0.1250,0.01,,,,0.0013,,,,,,,,,,,25.18,35.49,50.000,69.000,0.72,,0.13,
,qPCR,2003-03-28,-23.05,166.23,51,0.0100,0.3,0.003 ,,,4.3610,0.0002,47.7524,0.02,,,0.9559,,,,,,,,,,,,,,,,,,24.01,35.54,57.000,70.000,0.81,,0.25,
,qPCR,2003-03-28,-23.05,166.23,75,0.0100,0.3,0.003 ,,,0.2290,0.0002,2.0762,0.02,,,0.0416,,,,,,,,,,,,,,,,,,22.73,35.60,27.000,104.000,0.26,,0.53,
,qPCR,2003-03-28,-23.05,166.23,100,,,,,,0.0430,0.0002,1.4693,0.02,,,0.0294,,,,,,,,,,,,,,,,,,22.07,35.66,738.000,,,,0.11,
,qPCR,2003-03-28,-23.05,166.23,124,,,,,,0.0120,0.0002,0.2309,0.02,,,0.0046,,,,,,,,,,,,,,,,,,21.12,35.71,1862.000,226.000,8.24,,0.07,
,qPCR,2003-03-28,-23.05,166.23,150,,,,,,0.0420,0.0002,1.0372,0.02,,,0.0208,,,,,,,,,,,,,,,,,,20.72,35.79,618.000,85.000,7.27,,0.01,
,qPCR,2003-03-29,-22.55,170.39,149,6.3629,0.3,1.909 ,,,0.0850,0.0002,0.2339,0.02,,,0.0047,,,,,,,,,,,,,,,,,,20.98,35.66,1858.483,216.000,8.60,,0.08,
,qPCR,2003-03-29,-22.55,170.39,125,,,,,,0.0100,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,21.73,35.64,,,,,,
,qPCR,2003-03-29,-22.55,170.39,99,0.4350,0.3,0.130 ,,,0.0100,0.0002,1.1066,0.02,,,0.0221,,,,,,,,,,,,,,,,,,22.24,35.61,,,,,,
,qPCR,2003-03-29,-22.55,170.39,81,0.2174,0.3,0.065 ,,,0.0100,0.0002,1.3471,0.02,,,0.0269,,,,,,,,,,,,,,,,,,22.74,35.56,5.572,127.000,0.04,,0.46,
,qPCR,2003-03-29,-22.55,170.39,49,15.0413,0.3,4.512 ,,,104.8453,0.0002,10.1518,0.02,,,0.2240,Hemiaulus,0.0000,0.01,,,,0.0000,,,,,,,,,,,24.51,35.44,0.259,59.000,0.00,,0.21,
,qPCR,2003-03-29,-22.55,170.39,30,45.8798,0.3,13.764 ,,,340.0926,0.0002,11.4850,0.02,,,0.2977,"Rhizosolenia,Hemiaulus",0.1345,0.01,,,,0.0013,,,,,,,,,,,25.83,35.39,0.929,63.000,0.01,,0.18,
,qPCR,2003-03-29,-22.55,170.39,16,169.3839,0.3,50.815 ,,,278.6144,0.0002,33.3394,0.02,,,0.7225,"Rhizosolenia,Hemiaulus",0.8284,0.01,,,,0.0083,,,,,,,,,,,25.86,35.39,-0.446,56.000,-0.01,,0.18,
,qPCR,2003-03-29,-22.55,170.39,6,477.6064,0.3,143.282 ,,,131.8710,0.0002,9.8911,0.02,,,0.2242,,,,,,,,,,,,,,,,,,26.42,35.37,4.849,49.000,0.10,,0.33,
,qPCR,2003-03-30,-22.05,174.35,129,0.0000,0.3,0.000 ,,,0.0100,0.0002,0.0736,0.02,,,0.0015,,,,,,,,,,,,,,,,,,19.52,35.71,1626.890,223.000,7.30,,0.37,
,qPCR,2003-03-30,-22.05,174.35,112,0.4048,0.3,0.121 ,,,0.0100,0.0002,0.0696,0.02,,,0.0014,,,,,,,,,,,,,,,,,,19.99,35.71,24.667,83.000,0.30,,0.37,
,qPCR,2003-03-30,-22.05,174.35,91,0.0100,0.3,0.003 ,,,0.3500,0.0002,0.4984,0.02,,,0.0100,,,,,,,,,,,,,,,,,,20.86,35.73,-0.021,86.000,0.00,,0.18,
,qPCR,2003-03-30,-22.05,174.35,69,8.8553,0.3,2.657 ,,,110.3088,0.0002,1.9730,0.02,,,0.0615,,,,,,,,,,,,,,,,,,22.82,35.73,0.782,40.000,0.02,,0.11,
,qPCR,2003-03-30,-22.05,174.35,30,68.4995,0.3,20.550 ,,,260.5735,0.0002,16.2448,0.02,,,0.3770,"Rhizosolenia,Hemiaulus",1.1168,0.01,,,,0.0112,,,,,,,,,,,25.35,35.85,1.334,54.000,0.02,,0.11,
,qPCR,2003-03-30,-22.05,174.35,15,463.0935,0.3,138.928 ,,,5.6800,0.0002,30.3345,0.02,,,0.6078,"Rhizosolenia,Hemiaulus",2.8229,0.01,,,,0.0282,,,,,,,,,,,26.32,35.65,0.672,46.000,0.01,,0.14,
,qPCR,2003-03-30,-22.05,174.35,5,1095.7099,0.3,328.713 ,,,4.3132,0.0002,115.2697,0.02,,,2.3063,,,,,,,,,,,,,,,,,,26.72,35.48,5.539,40.000,0.14,,0.17,
,qPCR,2003-03-31,-21.55,178.30,149,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.0880,0.02,,,0.0018,,,,,,,,,,,,,,,,,,20.63,35.67,1353.602,190.000,7.12,,0.12,
,qPCR,2003-03-31,-21.55,178.30,126,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.1410,0.02,,,0.0028,,,,,,,,,,,,,,,,,,21.36,35.64,623.543,161.000,3.87,,0.26,
,qPCR,2003-03-31,-21.55,178.30,96,0.1191,0.3,0.036 ,,,0.0100,0.0002,0.1542,0.02,,,0.0031,,,,,,,,,,,,,,,,,,22.22,35.59,692.013,129.000,5.36,,0.54,
,qPCR,2003-03-31,-21.55,178.30,75,0.3561,0.3,0.107 ,,,0.7216,0.0002,0.4716,0.02,,,0.0096,,,,,,,,,,,,,,,,,,22.78,35.53,1.373,54.000,0.03,,0.22,
,qPCR,2003-03-31,-21.55,178.30,51,22.2347,0.3,6.670 ,,,384.3453,0.0002,12.6535,0.02,,,0.3299,,,,,,,,,,,,,,,,,,24.78,35.45,0.549,43.000,0.01,,0.13,
,qPCR,2003-03-31,-21.55,178.30,29,181.8641,0.3,54.559 ,,,0.8622,0.0002,153.1424,0.02,,,3.0630,"Rhizosolenia,Hemiaulus",0.6904,0.01,,,,0.0069,,,,,,,,,,,27.38,35.21,9.725,40.000,0.24,,0.11,
,qPCR,2003-03-31,-21.55,178.30,15,413.8626,0.3,124.159 ,,,1.4962,0.0002,143.0600,0.02,,,2.8615,"Rhizosolenia,Hemiaulus",2.3783,0.01,,,,0.0238,,,,,,,,,,,27.67,35.21,0.319,38.000,0.01,,0.10,
,qPCR,2003-03-31,-21.55,178.30,5,234.4896,0.3,70.347 ,,,0.0825,0.0002,40.1936,0.02,,,0.8039,,,,,,,,,,,,,,,,,,27.95,35.21,2.045,32.000,0.06,,0.10,
,qPCR,2003-04-02,-21.05,-177.77,150,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,21.11,35.64,1813.774,203.000,8.93,,0.01,
,qPCR,2003-04-02,-21.05,-177.77,123,,,,,,0.0000,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,21.50,35.62,,,,,,
,qPCR,2003-04-02,-21.05,-177.77,100,,,,,,0.0000,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,22.19,35.59,1221.552,147.000,8.31,,0.30,
,qPCR,2003-04-02,-21.05,-177.77,62,0.1511,0.3,0.045 ,,,0.0000,0.0002,0.6396,0.02,,,0.0128,,,,,,,,,,,,,,,,,,23.56,35.48,874.661,173.000,5.06,,0.55,
,qPCR,2003-04-02,-21.05,-177.77,50,1.9422,0.3,0.583 ,,,0.0571,0.0002,3.4298,0.02,,,0.0686,,,,,,,,,,,,,,,,,,24.75,35.37,15.349,82.000,0.19,,0.16,
,qPCR,2003-04-02,-21.05,-177.77,30,162.1653,0.3,48.650 ,,,0.0000,0.0002,4.8805,0.02,,,0.0976,"Rhizosolenia,Hemiaulus",0.5081,0.01,,,,0.0051,,,,,,,,,,,27.18,35.16,6.715,42.000,0.16,,0.11,
,qPCR,2003-04-02,-21.05,-177.77,15,757.3086,0.3,227.193 ,,,0.0000,0.0002,5.5262,0.02,,,0.1105,"Rhizosolenia,Hemiaulus",2.2965,0.01,,,,0.0230,,,,,,,,,,,27.23,35.08,8.773,42.000,0.21,,0.14,
,qPCR,2003-04-02,-21.05,-177.77,5,285.7490,0.3,85.725 ,,,0.0100,0.0002,24.8850,0.02,,,0.4977,,,,,,,,,,,,,,,,,,27.37,35.08,7.996,26.000,0.31,,0.12,
,qPCR,2003-04-03,-20.47,-173.55,148,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.1427,0.02,,,0.0029,,,,,,,,,,,,,,,,,,21.83,35.60,2399.013,249.000,9.63,,0.05,
,qPCR,2003-04-03,-20.47,-173.55,123,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.1916,0.02,,,0.0038,,,,,,,,,,,,,,,,,,22.89,35.65,1022.988,269.000,3.80,,0.14,
,qPCR,2003-04-03,-20.47,-173.55,100,0.0100,0.3,0.003 ,,,0.0100,0.0002,0.3918,0.02,,,0.0078,,,,,,,,,,,,,,,,,,23.64,35.62,212.771,199.000,1.07,,0.31,
,qPCR,2003-04-03,-20.47,-173.55,73,0.4384,0.3,0.132 ,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50,35.45,,,,,,
,qPCR,2003-04-03,-20.47,-173.55,74,,,,,,0.0100,0.0002,1.1736,0.02,,,0.0235,,,,,,,,,,,,,,,,,,24.49,35.46,654.079,168.000,3.89,,0.68,
,qPCR,2003-04-03,-20.47,-173.55,50,58.6470,0.3,17.594 ,,,1.1753,0.0002,5.7268,0.02,,,0.1148,,,,,,,,,,,,,,,,,,26.41,35.40,6.616,75.000,0.09,,0.28,
,qPCR,2003-04-03,-20.47,-173.55,30,396.6829,0.3,119.005 ,,,0.3481,0.0002,118.1655,0.02,,,2.3634,"Rhizosolenia,Hemiaulus",0.6301,0.01,,,,0.0063,,,,,,,,,,,27.64,35.47,1.464,109.000,0.01,,0.18,
,qPCR,2003-04-03,-20.47,-173.55,15,946.4679,0.3,283.940 ,,,0.2931,0.0002,184.2753,0.02,,,3.6856,"Rhizosolenia,Hemiaulus",3.2617,0.01,,,,0.0326,,,,,,,,,,,27.74,35.50,6.226,110.000,0.06,,0.18,
,qPCR,2003-04-03,-20.47,-173.55,5,169.3869,0.3,50.816 ,,,0.0100,0.0002,60.5600,0.02,,,1.2112,,,,,,,,,,,,,,,,,,27.74,35.50,7.507,89.000,0.08,,0.15,
,qPCR,2003-04-05,-20.00,-170.00,150,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,22.34,35.64,1402.143,157.000,8.93,,0.13,
,qPCR,2003-04-05,-20.00,-170.00,124,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.5177,0.02,,,0.0104,,,,,,,,,,,,,,,,,,22.75,35.54,48.855,121.000,0.40,,0.33,
,qPCR,2003-04-05,-20.00,-170.00,101,0.0100,0.3,0.003 ,,,0.0100,0.0002,0.4587,0.02,,,0.0092,,,,,,,,,,,,,,,,,,23.82,35.59,4.759,127.000,0.04,,0.40,
,qPCR,2003-04-05,-20.00,-170.00,75,0.0000,0.3,0.000 ,,,0.0100,0.0002,1.4302,0.02,,,0.0286,,,,,,,,,,,,,,,,,,24.67,35.45,3.726,105.000,0.04,,0.20,
,qPCR,2003-04-05,-20.00,-170.00,52,9.8816,0.3,2.964 ,,,9.0006,0.0002,45.6445,0.02,,,0.9147,,,,,,,,,,,,,,,,,,26.16,35.44,3.614,96.000,0.04,,0.09,
,qPCR,2003-04-05,-20.00,-170.00,30,0.1062,0.3,0.032 ,,,0.0000,0.0002,72.7975,0.02,,,1.4559,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,27.81,35.26,4.512,129.000,0.03,,0.04,
,qPCR,2003-04-05,-20.00,-170.00,15,0.1853,0.3,0.056 ,,,0.0000,0.0002,23.6331,0.02,,,0.4727,"Rhizosolenia,Hemiaulus",0.9531,0.01,,,,0.0095,,,,,,,,,,,27.89,35.22,5.734,105.000,0.05,,0.05,
,qPCR,2003-04-05,-20.00,-170.00,6,0.3135,0.3,0.094 ,,,0.0000,0.0002,116.3809,0.02,,,2.3276,,,,,,,,,,,,,,,,,,27.92,35.21,2.731,131.000,0.02,,0.04,
,qPCR,2003-04-06,-17.50,-170.00,175,0.0100,0.3,0.003 ,,,0.0100,0.0002,0.9312,0.02,,,0.0186,,,,,,,,,,,,,,,,,,23.26,35.94,1436.976,208.000,6.91,,0.04,
,qPCR,2003-04-06,-17.50,-170.00,152,0.0100,0.3,0.003 ,,,0.0100,0.0002,0.3287,0.02,,,0.0066,,,,,,,,,,,,,,,,,,24.06,35.83,2.809,145.000,0.02,,0.05,
,qPCR,2003-04-06,-17.50,-170.00,110,0.0000,0.3,0.000 ,,,0.0100,0.0002,0.2748,0.02,,,0.0055,,,,,,,,,,,,,,,,,,25.39,35.69,3.400,129.000,0.03,,0.03,
,qPCR,2003-04-06,-17.50,-170.00,75,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.2237,0.02,,,0.0045,,,,,,,,,,,,,,,,,,26.97,35.77,0.000,123.000,0.00,,0.04,
,qPCR,2003-04-06,-17.50,-170.00,49,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0100,0.02,,,0.0002,,,,,,,,,,,,,,,,,,28.39,35.51,0.941,119.000,0.01,,0.08,
,qPCR,2003-04-06,-17.50,-170.00,30,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.3653,0.02,,,0.0073,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,28.43,35.29,2.419,171.000,0.01,,0.17,
,qPCR,2003-04-06,-17.50,-170.00,15,25.8978,0.3,7.769 ,,,0.0000,0.0002,281.2558,0.02,,,5.6251,"Rhizosolenia,Hemiaulus",0.0000,0.01,,,,0.0000,,,,,,,,,,,28.88,35.22,0.495,146.000,0.00,,0.34,
,qPCR,2003-04-06,-17.50,-170.00,5,81.5911,0.3,24.477 ,,,0.0000,0.0002,1489.3079,0.02,,,29.7862,,,,,,,,,,,,,,,,,,29.00,35.18,-0.110,144.000,0.00,,0.19,
,qPCR,2003-04-07,-15.00,-170.00,149,3.7737,0.3,1.132 ,,,,,9.9922,0.02,,,0.1998,,,,,,,,,,,,,,,,,,25.17,36.25,977.244,437.000,2.24,,0.15,
,qPCR,2003-04-07,-15.00,-170.00,116,1.1377,0.3,0.341 ,,,0.0000,0.0002,10.0112,0.02,,,0.2002,,,,,,,,,,,,,,,,,,26.25,36.11,10.362,253.000,0.04,,0.40,
,qPCR,2003-04-07,-15.00,-170.00,95,0.0100,0.3,0.003 ,,,0.0000,0.0002,6.3453,0.02,,,0.1269,,,,,,,,,,,,,,,,,,27.37,36.14,0.416,159.000,0.00,,0.09,
,qPCR,2003-04-07,-15.00,-170.00,75,1.2847,0.3,0.385 ,,,1.0657,0.0002,52.0400,0.02,,,1.0410,,,,,,,,,,,,,,,,,,27.68,35.73,0.346,166.000,0.00,,0.08,
,qPCR,2003-04-07,-15.00,-170.00,50,162.9752,0.3,48.893 ,,,8.7292,0.0002,287.1717,0.02,,,5.7452,,,,,,,,,,,,,,,,,,29.07,35.82,3.914,111.000,0.04,,0.12,
,qPCR,2003-04-07,-15.00,-170.00,30,426.9179,0.3,128.075 ,,,0.0000,0.0002,387.8598,0.02,,,7.7572,"Rhizosolenia,Hemiaulus",0.1500,0.01,,,,0.0015,,,,,,,,,,,29.40,35.53,0.388,132.000,0.00,,0.16,
,qPCR,2003-04-07,-15.00,-170.00,15,1980.5299,0.3,594.159 ,,,0.0000,0.0002,969.9337,0.02,,,19.3987,"Rhizosolenia,Hemiaulus",0.6931,0.01,,,,0.0069,,,,,,,,,,,29.76,35.05,0.263,135.000,0.00,,0.12,
,qPCR,2003-04-07,-15.00,-170.00,5,1545.5758,0.3,463.673 ,,,0.0100,0.0002,288.2419,0.02,,,5.7648,,,,,,,,,,,,,,,,,,29.98,35.01,1.015,97.000,0.01,,0.10,
