SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),UCYN-A1 nifH Gene (x106 copies m-2),UCYN-A2 nifH Gene (x106 copies m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-B nifH Gene (x106 copies m-2),UCYN-C nifH Gene (x106 copies m-2),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Calothrix nifH Gene  (x106 copies m-2),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
 doi: https://doi.org/10.1002/2015gb005117,qPCR,2012 september,-20.99,163.11,95.00,0.00,,,24395.52,0.00,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
,qPCR,2012 september,-20.32,161.73,65.00,0.00,,,9629.47,2.55,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
Data shown in Fig. 5,qPCR,2012 september,-18.81,152.29,140.00,0.00,,,100.60,0.00,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
,qPCR,2012 september,-18.17,157.19,160.00,62.83,,,1010.29,0.00,," Rhizosolenia,Hemiaulus ",17.82,,,,,,,,,,,
,qPCR,2012 september,-17.07,152.28,85.00,0.00,,,2.42,0.00,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
,qPCR,2012 June-July,-16.00,163.00,100.90,14.09,,,860.57,348.04,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
,qPCR,2012 June-July,-14.00,163.00,101.40,21.39,,,0.00,0.00,," Rhizosolenia,Hemiaulus ",293.12,,,,,,,,,,,
,qPCR,2012 June-July,-11.37,155.00,99.40,20455.66,,,0.00,50.43,," Rhizosolenia,Hemiaulus ",3.70,,,,,,,,,,,
,qPCR,2012 June-July,-11.06,156.22,101.50,32.33,,,0.00,0.00,," Rhizosolenia,Hemiaulus ",22.94,,,,,,,,,,,
,qPCR,2012 June-July,-11.00,163.00,100.20,751.20,,,0.00,4153.21,," Rhizosolenia,Hemiaulus ",4.67,,,,,,,,,,,
,qPCR,2012 June-July,-10.31,159.18,101.80,41008.25,,,0.00,38.76,," Rhizosolenia,Hemiaulus ",,,,,,,,,,,,
,qPCR,2012 June-July,-10.01,160.36,101.40,1851.92,,,0.00,6.96,," Rhizosolenia,Hemiaulus ",,,,,,,,,,,,
,qPCR,2012 June-July,-9.97,153.22,101.30,311.14,,,0.00,0.00,," Rhizosolenia,Hemiaulus ",51.51,,,,,,,,,,,
,qPCR,2012 June-July,-9.19,162.69,101.10,141.69,,,0.00,169.49,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
,qPCR,2012 June-July,-8.87,155.12,100.60,1329.31,,,0.00,0.00,," Rhizosolenia,Hemiaulus ",24.86,,,,,,,,,,,
,qPCR,2012 June-July,-6.16,152.50,101.60,8713.21,,,0.00,4.94,," Rhizosolenia,Hemiaulus ",,,,,,,,,,,,
,qPCR,2012 June-July,-4.94,153.60,100.30,4591.87,,,0.00,22.83,," Rhizosolenia,Hemiaulus ",5.96,,,,,,,,,,,
,qPCR,2012 June-July,-4.91,152.87,100.30,1499.62,,,0.00,16.39,," Rhizosolenia,Hemiaulus ",115.41,,,,,,,,,,,
,qPCR,2012 June-July,-4.23,155.36,101.00,0.00,,,0.00,89.64,," Rhizosolenia,Hemiaulus ",1.10,,,,,,,,,,,
,qPCR,2012 June-July,-4.08,152.54,101.00,106408.23,,,0.00,11.83,," Rhizosolenia,Hemiaulus ",0.00,,,,,,,,,,,
Bonnet et al. (2023) doi: 10.1038/s41396-022-01319-3,qPCR,11/12/2019,-21.17,-175.96,135.00,3525556.22,,,,9201.05,6.63,,,,,,,,,,,,,
,qPCR,11/13/2019,-21.16,-175.75,135.00,214664.17,,,,4546.54,47.76,,,,,,,,,,,,,
only surface shown in Fig.. 1,qPCR,11/3/2019,-21.03,172.18,109.00,96.72,,,,3145.20,0.81,,,,,,,,,,,,,
data from author,qPCR,11/4/2019,-20.55,175.82,109.00,343.70,,,,4846.40,4.33,,,,,,,,,,,,,
,qPCR,11/6/2019,-20.53,-179.53,135.00,49812.17,,,,1330.47,9.67,,,,,,,,,,,,,
,qPCR,11/7/2019,-20.51,-177.13,135.00,24089.96,,,,19923.82,6.92,,,,,,,,,,,,,
,qPCR,11/16/2019,-20.50,-172.01,135.00,79556.51,,,,62662.22,0.79,,,,,,,,,,,,,
,qPCR,11/18/2019,-20.39,-166.44,187.00,15.71,,,,21905.43,0.69,,,,,,,,,,,,,
,qPCR,11/29/2019,-19.52,-177.05,135.00,222916.72,,,,3788.31,5.93,,,,,,,,,,,,,
,qPCR,11/25/2019,-19.42,-175.13,135.00,1796820.72,,,,19437.35,58.18,,,,,,,,,,,,,
,qPCR,11/25/2019,-19.42,-174.95,135.00,121972.18,,,,50983.54,3.62,,,,,,,,,,,,,
Foster et al. (unpublished),qPCR,6/12/2016,8.27,106.19,28.00,,,,,,,,,,,,,,,,,,,
,qPCR,6/11/2016,9.23,106.44,22.00,6.49,0.01,,,0.00,,,308814.87,308535.00,279.87,0.01,,,,,,,,
data from author,qPCR,6/11/2016,9.62,106.95,20.00,24.10,2.13,,,0.02,,,9402400.94,9402300.00,100.94,141.96,,,,,,,,
,qPCR,6/14/2016,9.74,108.67,85.00,104981.80,9.21,,,31.54,,,26335.40,22138.02,4197.38,386.87,,,,,,,,
,qPCR,6/14/2016,9.75,108.68,85.00,58828.52,6.07,,,11.60,,,12569.95,11469.38,1100.57,716.83,,,,,,,,
,qPCR,6/10/2016,9.79,107.18,26.00,526.83,0.00,,,0.42,,,2933.66,2746.86,,310.43,,,,,,,,
,qPCR,6/10/2016,9.82,107.76,34.00,794.80,0.03,,,12.43,,,10536.65,10359.25,177.40,2402.25,,,,,,,,
,qPCR,6/12/2016,9.82,107.76,34.00,0.58,47.14,,,4.33,,,4062.26,3847.90,214.36,1590.10,,,,,,,,
,qPCR,6/13/2016,9.82,107.76,35.00,0.61,44.81,,,27.48,,,7000.13,6424.50,575.63,686.56,,,,,,,,
,qPCR,6/11/2016,9.85,107.01,21.00,29.82,0.02,,,0.02,,,2006448.65,2006134.40,314.25,396.50,,,,,,,,
,qPCR,6/13/2016,9.99,107.58,29.00,0.42,92.65,,,0.38,,,3540.42,3446.60,93.82,1089.21,,,,,,,,
,qPCR,6/15/2016,10.63,109.14,85.00,19923.73,21.57,,,75.15,,,14773.66,14052.80,720.86,1317.70,,,,,,,,
,qPCR,6/15/2016,10.83,108.48,27.00,143.08,0.00,,,18.13,,,8289.75,2290.25,5999.50,1878.75,,,,,,,,
,qPCR,6/16/2016,11.14,109.61,90.00,,88.62,,,201.57,,,14602.77,10867.92,3734.85,2591.97,,,,,,,,
,qPCR,6/9/2016,11.14,109.62,70.00,,,,,,,,,,,,,,,,,,,
,qPCR,6/8/2016,11.14,109.62,90.00,1362.36,2163.62,,,,,,450.31,,302.31,0.02,,,,,,,,
,qPCR,6/9/2016,11.19,108.99,62.00,1576.98,1.72,,,0.03,,,96.95,31.29,,29.84,,,,,,,,
,qPCR,6/7/2016,11.58,110.15,90.00,2961.28,51.72,,,0.03,,,477.69,471.67,6.02,0.05,,,,,,,,
,qPCR,6/18/2016,11.65,109.59,106.00,,0.00,,,7.38,,,9371.65,7475.49,1896.15,513.64,,,,,,,,
,qPCR,6/6/2016,11.72,109.60,90.00,7105.40,527.73,,,,,,755.68,372.52,,26.18,,,,,,,,
,qPCR,6/17/2016,11.86,110.00,200.00,,0.00,,,0.12,,,753.03,753.00,0.03,29.62,,,,,,,,
,qPCR,6/16/2016,11.86,110.00,65.00,,2.12,,,458.77,,,8793.95,5784.09,3009.86,145.51,,,,,,,,
,qPCR,6/17/2016,11.86,110.00,90.00,,,,,,,,,,,,,,,,,,,
,qPCR,6/4/2016,12.39,110.95,100.00,1608.13,3462.02,,,0.04,,,153.15,0.02,153.13,209.08,,,,,,,,
,qPCR,6/4/2016,12.39,110.95,100.00,753.32,4183.72,,,40.68,,,493.54,95.86,397.68,10.69,,,,,,,,
,qPCR,6/5/2016,12.65,109.81,100.00,0.00,0.09,,,12.60,,,56.52,42.86,13.66,0.08,,,,,,,,
,qPCR,6/5/2016,12.65,109.80,60.00,953.32,184.84,,,96.87,,,41.49,6.60,34.90,0.01,,,,,,,,
Stenegren et al. (2017),qPCR,7/5/2010,4.88,-51.36,52.70,,,,,,,,0.00,0.00,0.00,,,,,,,,,
,qPCR,9/25/2011,5.43,-44.64,70.00,,,,,,,,14.19,,14.19,,,,,,,,,
doi: 10.3389/fmicb.2017.00810,qPCR,6/27/2010,5.94,-51.50,100.00,,,,,,,,22.04,0.00,22.04,,,,,,,,,
,qPCR,7/3/2010,6.13,-50.91,102.50,,,,,,,,201.36,0.01,201.35,,,,,,,,,
data from author,qPCR,9/24/2011,6.20,-45.45,70.00,,,,,,,,7.42,,7.42,,,,,,,,,
,qPCR,7/8/2010,6.69,-51.76,100.70,,,,,,,,33.56,0.00,33.56,,,,,,,,,
,qPCR,9/23/2011,6.78,-45.96,65.00,,,,,,,,22.92,,22.92,,,,,,,,,
,qPCR,6/28/2010,6.82,-49.98,101.40,,,,,,,,472115.71,250.64,471865.07,,,,,,,,,
,qPCR,6/29/2010,6.82,-47.63,101.60,,,,,,,,13.05,10.16,2.90,,,,,,,,,
,qPCR,9/26/2011,6.99,-44.85,25.00,,,,,,,,1.80,,1.80,,,,,,,,,
,qPCR,6/30/2010,7.00,-45.03,102.00,,,,,,,,389.28,117.87,271.41,,,,,,,,,
,qPCR,9/30/2011,7.39,-48.92,6.00,,,,,,,,,,,,,,,,,,,
,qPCR,9/30/2011,7.46,-48.90,2.00,,,,,,,,,,,,,,,,,,,
,qPCR,9/21/2011,8.22,-50.85,75.00,,,,,,,,0.00,,0.00,,,,,,,,,
,qPCR,9/19/2011,8.25,-50.67,100.00,,,,,,,,0.00,,0.00,,,,,,,,,
,qPCR,7/11/2010,8.31,-50.76,120.00,,,,,,,,3941.37,,3909.21,,,,,,,,,
,qPCR,9/28/2011,8.46,-48.04,100.00,,,,,,,,3.20,,3.20,,,,,,,,,
,qPCR,9/28/2011,9.45,-46.99,120.00,,,,,,,,0.00,,0.00,,,,,,,,,
,qPCR,10/4/2011,9.52,-50.40,100.00,,,,,,,,4.90,,4.90,,,,,,,,,
,qPCR,7/13/2010,9.77,-51.70,80.19,,,,,,,,28650.01,,28614.28,,,,,,,,,
,qPCR,7/12/2010,9.96,-50.02,120.00,,,,,,,,1331.14,,1331.14,,,,,,,,,
,qPCR,6/25/2010,10.29,-54.50,45.00,,,,,,,,51351.06,,51299.50,,,,,,,,,
,qPCR,10/6/2011,10.66,-53.00,100.00,,,,,,,,4.11,,4.11,,,,,,,,,
,qPCR,7/16/2010,10.77,-54.45,101.70,,,,,,,,,,,,,,,,,,,
,qPCR,7/18/2010,10.77,-54.45,75.76,,,,,,,,3519.26,21.70,3497.56,,,,,,,,,
,qPCR,6/23/2010,11.57,-56.80,150.00,,,,,,,,16260277.30,1687.30,16258590.00,,,,,,,,,
,qPCR,7/21/2010,12.40,-52.22,151.25,,,,,,,,14309.31,4203.04,10106.27,,,,,,,,,
,qPCR,7/22/2010,12.40,-52.22,152.19,,,,,,,,316781.03,4876.35,311904.67,,,,,,,,,
Dugenne et al. (2022),qPCR,4/4/2018,22.10,-157.03,125.00,825.26,16856.29,,,58.17,134.47,,14487.50,4202.50,10285.00,302587.50,,,,,,,,
doi: 10.1029/2022GB007386,qPCR,3/29/2018,22.21,-156.35,125.00,155.35,33433.10,,,237.78,1368.91,,67610.00,36715.00,30895.00,632262.50,,,,,,,,
,qPCR,7/1/2017,24.00,-158.92,125.00,4082.01,1156.07,,,10172.88,2.08,,58995.02,54443.67,4551.35,26364.19,,,,,,,,
,qPCR,7/1/2017,24.47,-158.72,125.00,142.02,7512.10,,,13671.00,5.35,,21867.81,8320.46,13547.35,10857.89,,,,,,,,
,qPCR,4/7/2018,24.62,-160.85,125.00,8.26,21524.14,,,18.49,42.27,,37567.50,34347.50,3220.00,12235.00,,,,,,,,
,qPCR,7/1/2017,24.86,-158.57,125.00,93.76,5183.52,,,816.32,2.13,,70922.10,58299.78,12622.32,439397.16,,,,,,,,
,qPCR,6/30/2017,25.19,-158.43,125.00,282.89,5029.93,,,5232.91,10.32,,111797.61,66938.05,44859.56,1564.11,,,,,,,,
,qPCR,6/30/2017,25.43,-158.33,125.00,329.20,16699.92,,,5865.85,5.17,,206884.15,154421.88,52462.26,99965.93,,,,,,,,
,qPCR,6/30/2017,25.68,-158.23,125.00,352.83,23679.49,,,21839.10,10.90,,78909.99,48758.60,30151.39,10923.80,,,,,,,,
,qPCR,6/30/2017,25.93,-158.12,125.00,239.54,22131.01,,,31561.58,9.84,,169246.55,116029.25,53217.30,2717.70,,,,,,,,
,qPCR,6/30/2017,26.17,-158.02,125.00,252.64,41986.56,,,244941.89,9.30,,165983.89,133977.65,32006.24,48133.92,,,,,,,,
,qPCR,6/29/2017,26.33,-158.01,125.00,146.91,33437.13,,,46167.16,22.34,,53492.60,23327.95,30164.64,7411.88,,,,,,,,
,qPCR,6/29/2017,27.18,-157.61,125.00,528.84,39588.74,,,19429.31,23.29,,255621.44,238752.46,16868.98,82486.42,,,,,,,,
,qPCR,6/29/2017,27.95,-157.29,125.00,58.05,24769.79,,,256.65,8.17,,65613.81,16438.01,49175.79,1033.70,,,,,,,,
