LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
35,136,0.0,0.0,0.0,10.0
35,136,0.0,0.0,0.0,10.0
35,136,0.0,4.4,0.0,10.0
35,136,0.0,0.0,0.0,10.0
35,136,0.0,0.0,0.0,10.0
35,136,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,6.6,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,9.4,0.0,10.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,7.7,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,0.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,4.4,0.0,10.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,10.0
34,135,0.0,0.0,0.0,10.0
35,135,0.0,12.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,6.1,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,5.9,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
11,-60,0.1,0.0,0.04,200.0
11,-60,0.16,0.0,0.03,160.0
11,-60,0.07,0.0,0.17,120.0
