SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
,qPCR,12/13/2002,22.75 ,-158.00 ,175.0 ,,,,,,,Rhizosolenia,0.693 ,0.693 ,,,,,,,,,,midnight sample
,qPCR,12/14/2002,22.75 ,-158.00 ,5.0 ,66.608 ,387.47 ,,387.47 ,0.044 ,,Rhizosolenia,550.283 ,550.283 ,,,,,,,,,,noon sample
,qPCR,12/14/2002,22.75 ,-158.00 ,25.0 ,150.131 ,210.63 ,,210.63 ,0.150 ,,Rhizosolenia,89.082 ,89.082 ,,,,,,,,,,noon sample
,qPCR,12/14/2002,22.75 ,-158.00 ,45.0 ,25.809 ,131.11 ,,131.11 ,0.211 ,,Rhizosolenia,24.735 ,24.735 ,,,,,,,,,,noon sample
,qPCR,12/14/2002,22.75 ,-158.00 ,75.0 ,5.817 ,21.06 ,,21.06 ,,,Rhizosolenia,4.004 ,4.004 ,,,,,,,,,,noon sample
,qPCR,12/14/2002,22.75 ,-158.00 ,100.0 ,2.106 ,29.55 ,,29.55 ,,,Rhizosolenia,15.427 ,15.427 ,,,,,,,,,,noon sample
,qPCR,12/14/2002,22.75 ,-158.00 ,125.0 ,0.123 ,0.62 ,,0.62 ,,,Rhizosolenia,3.499 ,3.499 ,,,,,,,,,,noon sample
,qPCR,12/14/2002,22.75 ,-158.00 ,150.0 ,,0.82 ,,0.82 ,,,,,,,,,,,,,,,noon sample
,qPCR,12/13/2002,22.75 ,-158.00 ,25.0 ,0.881 ,99.40 ,,99.40 ,4.503 ,,Rhizosolenia,559.798 ,559.798 ,,,,,,,,,,2am local time
,qPCR,12/13/2002,22.75 ,-158.00 ,25.0 ,671.076 ,53.02 ,,53.02 ,17.437 ,,Rhizosolenia,1545.170 ,1545.170 ,,,,,,,,,,4am local time
,qPCR,12/13/2002,22.75 ,-158.00 ,25.0 ,2387.552 ,721.55 ,,721.55 ,0.194 ,,Rhizosolenia,141.126 ,141.126 ,,,,,,,,,,10am local time
