SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,Inverted microscope technique,5/30/2014,12.48,-110.37,60,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,26.01,34.25,,,,0.75,
,Inverted microscope technique,5/31/2014,11.98,-108.03,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.17,34.16,,,,0.32,
,Inverted microscope technique,5/31/2014,11.98,-108.03,26,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.16,34.15,,,,0.23,
,Inverted microscope technique,5/31/2014,11.98,-108.03,60,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.03,34.40,,,,0.65,
,Inverted microscope technique,6/1/2014,11.36,-105.01,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.35,33.62,,,,0.45,
,Inverted microscope technique,6/1/2014,11.36,-105.01,26,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.28,33.73,,,,0.74,
,Inverted microscope technique,6/1/2014,11.36,-105.01,34,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,24.55,34.30,,,,0.93,
,Inverted microscope technique,6/2/2014,10.76,-102.45,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,29.30,33.47,,,,0.18,
,Inverted microscope technique,6/2/2014,10.76,-102.45,22,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,29.29,33.47,,,,0.21,
,Inverted microscope technique,6/2/2014,10.76,-102.45,38,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,26.49,33.99,,,,0.64,
,Inverted microscope technique,6/3/2014,10.07,-99.26,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,29.07,33.87,,,,0.37,
,Inverted microscope technique,6/3/2014,10.07,-99.26,26,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,29.08,33.88,,,,0.28,
,Inverted microscope technique,6/3/2014,10.07,-99.26,44,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.79,34.17,,,,0.64,
,Inverted microscope technique,6/4/2014,9.44,-96.34,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.61,33.94,,,,0.53,
,Inverted microscope technique,6/4/2014,9.44,-96.34,20,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,23.96,34.29,,,,0.78,
,Inverted microscope technique,6/4/2014,9.44,-96.34,26,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,20.86,34.48,,,,1.08,
,Inverted microscope technique,6/6/2014,8.15,-90.35,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.19,34.29,,,,0.21,
,Inverted microscope technique,6/6/2014,8.15,-90.35,24,,0.020 ,0.020 ,,,,,Rhizosolenia ,0.000,,,20.34,34.67,,,,0.78,
,Inverted microscope technique,6/6/2014,8.15,-90.35,32,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,18.80,34.68,,,,0.75,
,Inverted microscope technique,6/7/2014,7.21,-87.91,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,27.84,34.16,,,,0.36,
,Inverted microscope technique,6/7/2014,7.21,-87.91,20,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,26.76,34.28,,,,0.48,
,Inverted microscope technique,6/7/2014,7.21,-87.91,30,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,20.53,34.61,,,,0.48,
,Inverted microscope technique,6/8/2014,5.92,-84.79,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,27.65,33.18,,,,0.31,
,Inverted microscope technique,6/8/2014,5.92,-84.79,24,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,27.25,33.48,,,,0.54,
,Inverted microscope technique,6/8/2014,5.92,-84.79,46,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.22,34.32,,,,0.67,
,Inverted microscope technique,6/20/2011,12.37,-74.06,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.39,35.71,,,,0.13,
,Inverted microscope technique,6/20/2011,12.37,-74.06,24,,0.090 ,0.090 ,,,,,Rhizosolenia ,0.000,,,28.39,35.71,,,,0.12,
,Inverted microscope technique,6/20/2011,12.37,-74.06,70,,0.020 ,0.020 ,,,,,Rhizosolenia ,0.000,,,25.10,36.89,,,,0.70,
,Inverted microscope technique,6/21/2011,14.21,-71.75,4,,0.070 ,0.070 ,,,,,Rhizosolenia ,0.000,,,28.71,35.56,,,,0.14,
,Inverted microscope technique,6/21/2011,14.21,-71.75,34,,0.140 ,0.140 ,,,,,Rhizosolenia ,0.000,,,28.72,35.57,,,,0.11,
,Inverted microscope technique,6/21/2011,14.21,-71.75,106,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.90,36.61,,,,0.58,
,Inverted microscope technique,6/22/2011,15.06,-69.36,4,,0.790 ,0.790 ,,,,,Rhizosolenia ,0.000,,,28.80,35.45,,,,0.09,
,Inverted microscope technique,6/22/2011,15.06,-69.36,32,,0.030 ,0.030 ,,,,,Rhizosolenia ,0.030,,,28.73,35.49,,,,0.17,
,Inverted microscope technique,6/22/2011,15.06,-69.36,96,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.03,36.98,,,,0.51,
,Inverted microscope technique,6/23/2011,15.65,-67.15,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,29.10,35.54,,,,0.19,
,Inverted microscope technique,6/23/2011,15.65,-67.15,28,,0.110 ,0.110 ,,,,,Rhizosolenia ,0.000,,,29.11,35.54,,,,0.21,
,Inverted microscope technique,6/23/2011,15.65,-67.15,76,,0.040 ,0.040 ,,,,,Rhizosolenia ,0.000,,,27.41,35.91,,,,0.77,
,Inverted microscope technique,6/25/2011,17.43,-59.83,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,28.89,35.53,,,,0.27,
,Inverted microscope technique,6/25/2011,17.43,-59.83,38,,0.090 ,0.090 ,,,,,Rhizosolenia ,0.000,,,28.88,35.54,,,,0.15,
,Inverted microscope technique,6/25/2011,17.43,-59.83,90,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.68,36.85,,,,0.32,
,Inverted microscope technique,6/26/2011,18.09,-57.84,4,,0.010 ,0.010 ,,,,,Rhizosolenia ,0.000,,,28.50,35.68,,,,0.31,
,Inverted microscope technique,6/26/2011,18.09,-57.84,44,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.010,,,27.78,36.60,,,,0.10,
,Inverted microscope technique,6/26/2011,18.09,-57.84,160,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,24.43,37.18,,,,0.29,
,Inverted microscope technique,6/27/2011,19.05,-55.17,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,27.94,36.66,,,,0.05,
,Inverted microscope technique,6/27/2011,19.05,-55.17,44,,0.110 ,0.110 ,,,,,Rhizosolenia ,0.000,,,26.13,36.99,,,,0.08,
,Inverted microscope technique,6/27/2011,19.05,-55.17,140,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,22.81,37.18,,,,0.38,
,Inverted microscope technique,6/28/2011,20.02,-52.68,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,27.57,36.84,,,,0.07,
,Inverted microscope technique,6/28/2011,20.02,-52.69,58,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,26.24,37.07,,,,0.09,
,Inverted microscope technique,6/28/2011,20.02,-52.69,130,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,24.45,37.34,,,,0.39,
,Inverted microscope technique,6/29/2011,20.79,-50.17,4,,0.010 ,0.010 ,,,,,Rhizosolenia ,0.000,,,27.10,37.09,,,,0.06,
,Inverted microscope technique,6/29/2011,20.79,-50.17,44,,0.010 ,0.010 ,,,,,Rhizosolenia ,0.000,,,26.33,37.21,,,,0.07,
,Inverted microscope technique,6/29/2011,20.79,-50.17,130,,0.010 ,0.010 ,,,,,Rhizosolenia ,0.000,,,22.61,37.22,,,,0.33,
,Inverted microscope technique,6/30/2011,21.77,-47.79,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,26.97,37.09,,,,0.06,
,Inverted microscope technique,6/30/2011,21.77,-47.79,46,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.73,37.31,,,,0.07,
,Inverted microscope technique,6/30/2011,21.77,-47.79,120,,0.010 ,0.010 ,,,,,Rhizosolenia ,0.000,,,23.15,37.35,,,,0.43,
,Inverted microscope technique,7/1/2011,22.87,-44.54,4,,0.020 ,0.020 ,,,,,Rhizosolenia ,0.000,,,26.53,37.06,,,,0.05,
,Inverted microscope technique,7/1/2011,22.87,-44.54,44,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.31,37.32,,,,0.06,
,Inverted microscope technique,7/1/2011,22.87,-44.54,150,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.91,37.15,,,,0.40,
,Inverted microscope technique,7/2/2011,23.76,-41.91,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.87,37.47,,,,0.06,
,Inverted microscope technique,7/2/2011,23.76,-41.91,50,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.020,,,24.05,37.52,,,,0.07,
,Inverted microscope technique,7/2/2011,23.76,-41.92,130,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.50,37.22,,,,0.47,
,Inverted microscope technique,7/3/2011,24.86,-38.73,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,25.04,37.56,,,,0.08,
,Inverted microscope technique,7/3/2011,24.86,-38.73,48,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,23.25,37.43,,,,0.05,
,Inverted microscope technique,7/3/2011,24.86,-38.73,160,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,20.42,37.07,,,,0.35,
,Inverted microscope technique,7/4/2011,26.11,-35.31,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,24.28,37.65,,,,0.05,
,Inverted microscope technique,7/4/2011,26.11,-35.32,56,,0.050 ,0.050 ,,,,,Rhizosolenia ,0.000,,,23.08,37.50,,,,0.07,
,Inverted microscope technique,7/4/2011,26.11,-35.32,150,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.81,37.39,,,,0.35,
,Inverted microscope technique,7/5/2011,26.91,-32.84,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,23.69,37.45,,,,0.04,
,Inverted microscope technique,7/5/2011,26.91,-32.84,50,,1.730 ,1.730 ,,,,,Rhizosolenia ,0.000,,,22.74,37.39,,,,0.05,
,Inverted microscope technique,7/5/2011,26.91,-32.84,150,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,20.03,36.98,,,,0.23,
,Inverted microscope technique,7/6/2011,27.99,-29.69,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,22.77,37.34,,,,0.04,
,Inverted microscope technique,7/6/2011,27.99,-29.69,54,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.09,37.08,,,,0.09,
,Inverted microscope technique,7/6/2011,27.99,-29.69,140,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,19.71,36.99,,,,0.22,
,Inverted microscope technique,7/7/2011,28.87,-26.97,4,,0.010 ,0.010 ,,,,,Rhizosolenia ,0.030,,,22.44,37.37,,,,0.10,
,Inverted microscope technique,7/7/2011,28.87,-26.97,30,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,22.44,37.37,,,,0.09,
,Inverted microscope technique,7/7/2011,28.87,-26.97,96,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,20.31,37.07,,,,0.43,
,Inverted microscope technique,7/8/2011,29.98,-23.70,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.09,36.97,,,,0.07,
,Inverted microscope technique,7/8/2011,29.98,-23.70,40,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.010,,,21.07,36.97,,,,0.09,
,Inverted microscope technique,7/8/2011,29.98,-23.70,100,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,18.41,36.68,,,,0.46,
,Inverted microscope technique,7/9/2011,30.96,-20.65,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,20.94,36.89,,,,0.07,
,Inverted microscope technique,7/9/2011,30.96,-20.66,36,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.010,,,20.94,36.89,,,,0.08,
,Inverted microscope technique,7/9/2011,30.96,-20.66,96,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,18.05,36.61,,,,0.60,
,Inverted microscope technique,7/10/2011,32.08,-17.28,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.37,36.89,,,,0.07,
,Inverted microscope technique,7/10/2011,32.08,-17.28,34,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.37,36.89,,,,0.07,
,Inverted microscope technique,7/10/2011,32.08,-17.28,110,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,17.61,36.53,,,,0.41,
,Inverted microscope technique,7/11/2011,32.85,-14.67,4,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.23,36.74,,,,0.09,
,Inverted microscope technique,7/11/2011,32.85,-14.67,26,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,21.23,36.74,,,,0.09,
,Inverted microscope technique,7/11/2011,32.85,-14.67,90,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,17.82,36.58,,,,0.54,
"Jiang et al., 2023, doi: doi.org/10.1029/2022JG007287",fluorescence microscope,7/18/2013,35.00,124.00,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/19/2013,33.20,122.61,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/24/2013,32.92,124.78,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
data shown in Supplementary table,fluorescence microscope,7/22/2013,31.99,125.50,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/25/2013,32.17,123.43,0,,0.004 ,0.004 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/25/2013,31.80,123.07,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/31/2013,30.23,122.85,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/30/2013,29.42,122.50,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/29/2013,28.96,122.23,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/29/2013,28.73,122.58,0,,0.008 ,0.008 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/31/2013,30.52,123.03,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/21/2013,31.00,125.62,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/27/2013,30.11,126.76,0,,0.048 ,0.048 ,,,,,Rhizosolenia ,0.029,,,,,,,,,
,fluorescence microscope,7/20/2013,31.04,122.78,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/25/2013,30.84,123.01,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/25/2013,30.63,123.39,0,,0.000 ,0.000 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/27/2013,29.40,126.75,0,,0.021 ,0.021 ,,,,,Rhizosolenia ,0.024,,,,,,,,,
,fluorescence microscope,7/26/2013,29.57,125.31,0,,0.002 ,0.002 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/26/2013,29.36,125.67,0,,0.006 ,0.006 ,,,,,Rhizosolenia ,0.007,,,,,,,,,
,fluorescence microscope,7/28/2013,28.42,123.07,0,,0.006 ,0.006 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/28/2013,28.00,123.75,0,,0.004 ,0.004 ,,,,,Rhizosolenia ,0.010,,,,,,,,,
,fluorescence microscope,8/10/2013,30.94,127.04,0,,0.005 ,0.005 ,,,,,Rhizosolenia ,0.023,,,,,,,,,
,fluorescence microscope,8/15/2013,30.41,123.18,0,,0.001 ,0.001 ,,,,,Rhizosolenia ,0.023,,,,,,,,,
,fluorescence microscope,8/26/2013,27.57,122.92,0,,0.065 ,0.065 ,,,,,Rhizosolenia ,0.020,,,,,,,,,
,fluorescence microscope,8/27/2013,26.26,121.55,0,,0.041 ,0.041 ,,,,,Rhizosolenia ,0.031,,,,,,,,,
,fluorescence microscope,7/27/2013,28.28,126.13,0,,0.144 ,0.144 ,,,,,Rhizosolenia ,0.009,,,,,,,,,
,fluorescence microscope,7/26/2013,30.42,123.78,0,,0.014 ,0.014 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/26/2013,30.20,124.15,0,,0.059 ,0.059 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/26/2013,29.99,124.53,0,,0.112 ,0.112 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/26/2013,29.90,124.95,0,,0.074 ,0.074 ,,,,,Rhizosolenia ,0.020,,,,,,,,,
,fluorescence microscope,7/27/2013,28.70,126.85,0,,0.062 ,0.062 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,7/28/2013,27.42,124.68,0,,0.034 ,0.034 ,,,,,Rhizosolenia ,0.002,,,,,,,,,
,fluorescence microscope,8/16/2013,28.97,125.66,0,,0.011 ,0.011 ,,,,,Rhizosolenia ,0.010,,,,,,,,,
,fluorescence microscope,8/26/2013,26.79,124.07,0,,0.619 ,0.619 ,,,,,Rhizosolenia ,0.038,,,,,,,,,
,fluorescence microscope,8/26/2013,25.53,122.60,0,,0.054 ,0.054 ,,,,,Rhizosolenia ,0.000,,,,,,,,,
,fluorescence microscope,8/17/2013,28.25,126.88,0,,1.419 ,1.419 ,,,,,Rhizosolenia ,0.064,,,,,,,,,
,fluorescence microscope,8/23/2013,27.21,126.83,0,,3.358 ,3.358 ,,,,,Rhizosolenia ,0.036,,,,,,,,,
,fluorescence microscope,8/23/2013,26.96,126.12,0,,0.503 ,0.503 ,,,,,Rhizosolenia ,0.013,,,,,,,,,
,fluorescence microscope,8/23/2013,26.69,125.50,0,,0.894 ,0.894 ,,,,,Rhizosolenia ,0.205,,,,,,,,,
"Campbell, L.,  Carpenter, E. J.,  Montoya, J. P.,  Kustka, A. B., and Capone, D. G.:  Picoplankton community structure within and outside a Trichodesmium bloom in the southwestern Pacific Ocean, Vie Milieu, 55, 185–195, 2006.",epifluorescence microscope,1998-03-27,-32.51,170.51,1,0.000,0.00,0.00,,,,,,0.006,,,,,,,,,
,epifluorescence microscope,1998-03-27,-32.51,170.51,5,0.004,0.00,0.00,,,,,,0.014,,,,,,,,,
,epifluorescence microscope,1998-03-27,-32.51,170.51,10,0.000,0.00,0.00,,,,,,0.007,,,,,,,,,
data from authors,epifluorescence microscope,1998-03-27,-32.51,170.51,15,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-03-27,-32.51,170.51,20,0.005,0.00,0.00,,,,,,0.011,,,,,,,,,
,epifluorescence microscope,1998-03-27,-32.51,170.51,30,0.000,0.00,0.00,,,,,,0.002,,,,,,,,,
,epifluorescence microscope,1998-03-27,-32.51,170.51,40,0.000,0.00,0.00,,,,,,0.004,,,,,,,,,
,epifluorescence microscope,1998-03-27,-32.51,170.51,50,0.016,0.00,0.00,,,,,,0.007,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,1,0.000,0.00,0.00,,,,,,0.005,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,5,0.000,0.00,0.00,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,10,0.000,0.00,0.00,,,,,,0.007,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,25,0.000,0.00,0.00,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,40,0.000,0.00,0.00,,,,,,0.002,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,50,0.038,0.00,0.01,,,,,,0.003,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,70,0.011,0.00,0.00,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,100,0.000,0.00,0.00,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-03-28,-29.41,169.11,125,0.000,0.00,0.00,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,1,1.310,0.05,0.31,,,,,,0.003,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,5,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,10,0.885,0.09,0.27,,,,,,0.013,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,25,0.034,0.06,0.06,,,,,,0.016,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,50,0.008,0.01,0.01,,,,,,0.003,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,90,0.025,0.00,0.01,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,100,0.001,0.00,0.00,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-03-29,-27.00,168.00,130,0.080,0.00,0.02,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,1,0.176,0.02,0.06,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,5,3.736,0.35,1.09,,,,,,0.167,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,10,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,20,2.036,0.16,0.57,,,,,,0.010,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,25,2.664,0.17,0.71,,,,,,0.027,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,30,4.042,0.20,1.01,,,,,,0.008,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,40,3.758,0.19,0.95,,,,,,0.101,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,50,0.125,0.20,0.23,,,,,,0.013,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,75,0.004,0.00,0.00,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-04-01,-22.53,166.19,100,0.004,0.00,0.00,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-01,-20.82,163.24,1,0.480,0.05,0.15,,,,,,0.005,,,,,,,,,
,epifluorescence microscope,1998-04-01,-20.82,163.24,5,0.990,0.01,0.21,,,,,,0.008,,,,,,,,,
,epifluorescence microscope,1998-04-01,-20.82,163.24,10,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-04-01,-20.82,163.24,15,0.161,0.01,0.05,,,,,,0.004,,,,,,,,,
,epifluorescence microscope,1998-04-01,-20.82,163.24,35,0.000,0.00,0.00,,,,,,0.004,,,,,,,,,
,epifluorescence microscope,1998-04-01,-20.82,163.24,115,0.009,0.00,0.01,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,1,2.561,0.14,0.65,,,,,,0.097,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,5,3.390,0.14,0.82,,,,,,0.083,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,10,1.367,0.14,0.41,,,,,,0.073,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,25,2.571,0.12,0.64,,,,,,0.081,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,35,0.449,0.04,0.13,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,50,0.020,0.00,0.01,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-02,-15.06,160.99,65,0.027,0.00,0.01,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,1,1.229,0.06,0.30,,,,,,0.019,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,5,1.463,0.07,0.36,,,,,,0.025,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,10,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,15,1.083,0.07,0.29,,,,,,0.008,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,25,0.790,0.05,0.21,,,,,,0.030,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,35,0.231,0.04,0.08,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,40,0.059,0.02,0.03,,,,,,0.006,,,,,,,,,
,epifluorescence microscope,1998-04-03,-15.04,163.03,80,0.049,0.01,0.02,,,,,,0.002,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,1,0.020,0.00,0.01,,,,,,0.011,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,7,0.034,0.01,0.02,,,,,,0.008,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,10,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,20,0.007,0.00,0.00,,,,,,0.004,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,30,0.000,0.00,0.00,,,,,,0.005,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,40,0.000,0.00,0.00,,,,,,0.001,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,50,0.000,0.00,0.00,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-04,-13.04,162.97,80,0.000,0.00,0.00,,,,,,0.000,,,,,,,,,
,epifluorescence microscope,1998-04-05,-14.67,164.47,1,5.017,0.14,1.15,,,,,,0.004,,,,,,,,,
,epifluorescence microscope,1998-04-05,-14.67,164.47,7,6.545,0.22,1.53,,,,,,0.044,,,,,,,,,
,epifluorescence microscope,1998-04-05,-14.67,164.47,10,,,,,,,,,,,,,,,,,,
,epifluorescence microscope,1998-04-05,-14.67,164.47,15,4.288,0.10,0.96,,,,,,0.085,,,,,,,,,
,epifluorescence microscope,1998-04-05,-14.67,164.47,22,10.116,0.22,2.25,,,,,,0.112,,,,,,,,,
,epifluorescence microscope,1998-04-05,-14.67,164.47,35,11.823,0.38,2.74,,,,,,0.037,,,,,,,,,
