SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,Standard Light Microscopy,4/18/1975,13.20,-59.70,166,,,0.00,,,,,,,,,,36.87,,,,0.01,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,5,,,0.29,,,,,,,,,25.70,34.18,,,,0.10,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,15,,,0.34,,,,,,,,,25.70,34.30,,,,0.14,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,25,,,0.66,,,,,,,,,25.70,34.49,,,,0.14,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,35,,,0.51,,,,,,,,,25.70,34.84,,,,0.16,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,50,,,0.03,,,,,,,,,25.50,36.43,,,,0.13,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,75,,,0.04,,,,,,,,,25.40,36.98,,,,0.08,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,100,,,0.00,,,,,,,,,25.40,37.03,,,,0.07,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,150,,,0.00,,,,,,,,,23.30,36.63,,,,0.02,
,Standard Light Microscopy,4/29/1975,13.20,-59.70,175,,,0.00,,,,,,,,,22.00,,,,,0.01,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,5,,,1.46,,,,,,,,,26.10,34.15,,,,0.18,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,15,,,1.65,,,,,,,,,,34.24,,,,0.25,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,24,,,2.21,,,,,,,,,,34.47,,,,0.32,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,32,,,2.30,,,,,,,,,,34.76,,,,0.28,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,43,,,0.72,,,,,,,,,,35.54,,,,0.24,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,66,,,0.04,,,,,,,,,,35.97,,,,0.10,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,86,,,0.05,,,,,,,,,,36.51,,,,0.06,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,129,,,0.00,,,,,,,,,,37.12,,,,0.02,
,Standard Light Microscopy,5/13/1975,13.20,-59.70,151,,,0.01,,,,,,,,,,37.16,,,,0.01,
,Standard Light Microscopy,5/21/1975,13.20,-59.70,5,,,1.17,,,,,,,,,26.30,33.08,,,,0.25,
,Standard Light Microscopy,5/21/1975,13.20,-59.70,25,,,1.29,,,,,,,,,,33.27,,,,0.27,
,Standard Light Microscopy,5/21/1975,13.20,-59.70,50,,,0.04,,,,,,,,,,35.71,,,,0.23,
,Standard Light Microscopy,5/21/1975,13.20,-59.70,4,,,0.90,,,,,,,,,26.30,33.67,,,,0.19,
